STATE/UT,DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,101,60,50,0,50,30,9,41,78,16,104,149,34,0,4154
ANDHRA PRADESH,ANANTAPUR,151,125,23,0,23,30,8,16,168,11,65,118,24,0,4125
ANDHRA PRADESH,CHITTOOR,101,57,27,0,27,34,4,14,156,33,209,112,83,0,5818
ANDHRA PRADESH,CUDDAPAH,80,53,20,0,20,20,1,4,164,12,37,126,38,0,3140
ANDHRA PRADESH,EAST GODAVARI,82,67,23,0,23,26,4,25,70,50,220,109,58,0,6507
ANDHRA PRADESH,GUNTAKAL RLY.,3,1,0,0,0,0,5,2,1,0,0,1,0,0,287
ANDHRA PRADESH,GUNTUR,182,88,54,0,54,51,16,59,244,67,300,139,129,0,7848
ANDHRA PRADESH,HYDERABAD CITY,111,113,37,0,37,39,13,67,65,101,1293,118,27,0,11831
ANDHRA PRADESH,KARIMNAGAR,162,85,56,0,56,49,27,50,220,25,243,414,81,0,5811
ANDHRA PRADESH,KHAMMAM,93,60,47,0,47,30,1,13,153,35,130,180,336,0,4582
ANDHRA PRADESH,KRISHNA,65,51,37,0,37,21,3,15,70,24,104,208,72,0,4779
ANDHRA PRADESH,KURNOOL,133,72,29,0,29,47,6,22,84,6,126,141,107,0,4581
ANDHRA PRADESH,MAHABOOBNAGAR,157,67,59,0,59,27,8,27,157,22,84,176,41,0,4819
ANDHRA PRADESH,MEDAK,101,56,35,0,35,20,27,26,100,17,87,100,25,0,3532
ANDHRA PRADESH,NALGONDA,122,60,35,0,35,19,6,28,220,13,122,188,59,0,5002
ANDHRA PRADESH,NELLORE,89,69,46,0,46,80,12,16,97,20,177,207,228,0,5245
ANDHRA PRADESH,NIZAMABAD,106,49,21,0,21,21,7,22,51,61,122,55,15,0,3621
ANDHRA PRADESH,PRAKASHAM,102,82,19,0,19,12,15,14,138,16,88,140,100,0,3678
ANDHRA PRADESH,RANGA REDDY,214,95,72,0,72,83,24,78,65,67,527,113,55,7,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,6,0,0,0,0,0,0,10,1,2,4,0,1,0,439
ANDHRA PRADESH,SRIKAKULAM,38,10,8,0,8,12,1,4,70,18,53,38,47,0,2572
ANDHRA PRADESH,VIJAYAWADA,53,44,25,0,25,48,3,27,19,34,614,84,122,0,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2,1,1,0,1,0,0,1,1,2,3,1,1,0,320
ANDHRA PRADESH,VISAKHA RURAL,58,29,12,0,12,12,4,3,138,19,39,67,48,0,3183
ANDHRA PRADESH,VISAKHAPATNAM,22,10,13,0,13,6,1,5,9,37,192,33,462,0,3422
ANDHRA PRADESH,VIZIANAGARAM,33,14,8,0,8,2,0,2,36,11,41,40,22,0,2178
ANDHRA PRADESH,WARANGAL,158,79,53,0,53,25,2,23,330,6,137,241,0,0,6319
ANDHRA PRADESH,WEST GODAVARI,77,58,61,0,61,21,7,15,96,63,270,246,56,0,5696
ANDHRA PRADESH,TOTAL,2602,1555,871,0,871,765,214,629,3001,788,5391,3544,2271,7,130089
ARUNACHAL PRADESH,CHANGLANG,11,2,1,0,1,2,3,4,0,4,3,3,0,0,163
ARUNACHAL PRADESH,DIBANG VALLEY,3,5,2,0,2,4,2,5,0,3,0,4,0,0,139
ARUNACHAL PRADESH,KAMENG EAST,3,1,2,0,2,5,1,6,0,1,1,5,0,0,126
ARUNACHAL PRADESH,KAMENG WEST,4,2,0,0,0,2,1,0,0,1,4,0,0,0,103
ARUNACHAL PRADESH,LOHIT,16,6,2,0,2,6,2,8,3,5,2,8,0,0,190
ARUNACHAL PRADESH,PAPUM PARE,11,8,9,0,9,5,4,29,9,12,8,6,0,0,498
ARUNACHAL PRADESH,SIANG EAST,7,0,5,0,5,7,4,8,1,4,4,7,0,0,243
ARUNACHAL PRADESH,SIANG UPPER,1,1,2,0,2,5,0,0,1,1,0,3,0,0,56
ARUNACHAL PRADESH,SIANG WEST,5,14,4,0,4,10,1,10,2,5,5,25,2,0,361
ARUNACHAL PRADESH,SUBANSIRI LOWER,8,10,2,0,2,5,1,7,5,3,2,4,0,0,148
ARUNACHAL PRADESH,SUBANSIRI UPPER,4,0,2,0,2,1,3,5,2,2,0,8,0,0,140
ARUNACHAL PRADESH,TAWANG,2,0,1,0,1,0,0,0,0,0,1,5,1,0,48
ARUNACHAL PRADESH,TIRAP,8,4,1,0,1,3,0,2,1,0,0,0,0,0,127
ARUNACHAL PRADESH,TOTAL,83,53,33,0,33,55,22,84,24,41,30,78,3,0,2342
ASSAM,BARPETA,64,5,28,0,28,88,43,45,196,26,29,29,0,0,1778
ASSAM,BONGAIGAON,45,22,20,0,20,21,13,25,87,4,13,22,0,0,810
ASSAM,C.I.D.,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8
ASSAM,CACHAR,52,30,45,0,45,74,29,42,533,29,33,80,0,0,3462
ASSAM,DARRANG,61,13,48,0,48,47,21,29,100,21,25,56,0,0,1454
ASSAM,DHEMAJI,15,16,42,0,42,20,2,12,13,7,15,26,0,0,652
ASSAM,DHUBRI,65,23,43,0,43,51,53,19,402,11,24,49,0,0,1505
ASSAM,DIBRUGARH,110,22,35,0,35,37,14,29,21,13,12,41,0,0,1565
ASSAM,G.R.P.,13,1,1,0,1,0,8,16,9,1,0,0,0,0,343
ASSAM,GOALPARA,28,12,35,0,35,35,37,13,129,8,16,54,0,0,873
ASSAM,GOLAGHAT,53,2,30,0,30,40,13,27,26,3,20,23,0,0,1166
ASSAM,GUWAHATI CITY,71,44,37,0,37,64,38,73,151,52,72,67,0,0,4373
ASSAM,HAILAKANDI,18,4,24,0,24,34,6,8,160,6,14,27,0,0,820
ASSAM,JORHAT,40,22,42,0,42,28,6,27,30,21,23,44,0,0,1190
ASSAM,KAMRUP,37,30,21,0,21,65,30,41,55,26,50,42,0,0,2011
ASSAM,KARBI ANGLONG,65,26,5,0,5,15,12,33,90,3,11,5,0,0,721
ASSAM,KARIMGANJ,32,20,33,0,33,8,8,5,271,9,8,9,0,0,843
ASSAM,KOKRAJHAR,87,27,14,0,14,12,14,10,50,3,10,37,0,0,776
ASSAM,LAKHIMPUR,26,21,64,0,64,62,15,47,106,25,71,22,0,0,1779
ASSAM,MORIGAON,20,9,23,0,23,37,15,10,79,4,7,6,0,0,731
ASSAM,N.C.HILLS,17,8,2,0,2,4,4,5,4,8,3,2,0,0,187
ASSAM,NAGAON,95,22,51,0,51,109,59,33,267,32,35,113,4,0,3202
ASSAM,NALBARI,79,36,30,0,30,27,15,39,4,14,18,16,0,0,1194
ASSAM,R.P.O.,11,0,3,0,3,0,13,2,13,0,1,0,0,0,101
ASSAM,SIBSAGAR,59,24,47,0,47,64,3,41,50,14,29,28,0,0,1643
ASSAM,SONITPUR,86,25,53,0,53,80,27,21,85,22,21,43,0,0,2309
ASSAM,TINSUKIA,107,17,41,0,41,48,34,35,22,12,10,9,0,0,1381
ASSAM,TOTAL,1356,481,817,0,817,1070,532,687,2953,374,575,850,4,0,36877
BIHAR,ARARIA,47,27,93,0,93,13,39,43,375,26,47,3,0,0,2069
BIHAR,ARWAL,37,64,0,0,0,0,5,8,76,9,7,11,0,0,591
BIHAR,AURANGABAD,74,46,16,0,16,4,19,28,155,13,28,13,2,0,1690
BIHAR,BAGAHA,34,67,25,0,25,6,1,9,67,1,15,4,0,0,912
BIHAR,BANKA,93,16,34,0,34,10,49,39,196,4,3,0,0,0,1386
BIHAR,BEGUSARAI,124,77,13,0,13,7,18,67,147,26,26,32,0,0,2628
BIHAR,BETTIAH,66,9,20,0,20,23,8,32,340,35,33,23,0,8,2796
BIHAR,BHABHUA,41,25,10,0,10,12,34,26,186,8,23,7,0,0,1368
BIHAR,BHAGALPUR,128,73,35,0,35,9,22,55,171,22,47,15,0,0,2634
BIHAR,BHOJPUR,135,33,22,0,22,13,32,49,240,0,31,0,4,0,2806
BIHAR,BUXAR,56,38,8,0,8,1,49,34,189,0,57,0,0,0,1674
BIHAR,DARBHANGA,53,64,19,0,19,16,29,37,142,39,31,40,0,0,2572
BIHAR,GAYA,200,170,25,0,25,15,100,114,417,57,79,27,0,0,3182
BIHAR,GOPALGANJ,107,92,13,0,13,18,32,73,227,45,75,0,2,0,2098
BIHAR,JAMALPUR RLY.,7,0,1,0,1,0,9,13,0,0,3,1,0,0,225
BIHAR,JAMUI,67,74,10,0,10,1,22,14,134,10,7,8,0,0,1046
BIHAR,JEHANABAD,73,80,6,0,6,5,15,22,170,0,51,0,0,0,1353
BIHAR,KATIHAR,60,47,51,0,51,20,49,30,193,26,23,6,0,0,1811
BIHAR,KATIHAR RLY.,7,0,0,0,0,1,18,19,9,0,9,2,0,0,417
BIHAR,KHAGARIA,72,27,5,0,5,6,6,29,167,4,6,6,0,0,895
BIHAR,KISHANGANJ,25,15,22,0,22,16,19,10,116,15,5,2,1,0,897
BIHAR,LAKHISARAI,61,44,10,0,10,7,9,13,93,5,6,12,0,0,754
BIHAR,MADHEPURA,56,23,11,0,11,15,17,31,157,11,17,3,0,0,1062
BIHAR,MADHUBANI,35,65,13,0,13,11,24,17,195,11,9,41,0,0,2897
BIHAR,MOTIHARI,114,98,44,0,44,35,30,79,365,46,103,3,1,0,3881
BIHAR,MUNGER,51,108,11,0,11,15,6,29,218,0,29,0,0,0,1758
BIHAR,MUZAFFARPUR,153,162,73,0,73,25,32,135,241,67,94,81,0,6,4212
BIHAR,MUZAFFARPUR RLY.,13,3,2,0,2,1,4,15,13,2,20,4,0,0,538
BIHAR,NALANDA,208,249,40,0,40,12,51,97,318,19,34,14,2,0,3479
BIHAR,NAUGACHIA,36,65,7,0,7,9,15,18,56,5,11,0,0,0,570
BIHAR,NAWADAH,77,54,15,0,15,1,16,31,183,9,30,7,0,1,1515
BIHAR,PATNA,434,581,27,0,27,11,91,414,506,196,331,47,0,39,8583
BIHAR,PATNA RLY.,24,21,1,0,1,1,18,21,11,1,11,9,0,0,1127
BIHAR,PURNEA,104,89,39,0,39,23,75,97,269,5,28,5,0,0,2054
BIHAR,ROHTAS,127,112,25,0,25,18,78,68,391,37,52,21,0,0,2961
BIHAR,SAHARSA,36,151,12,0,12,10,3,15,156,22,25,9,0,0,1066
BIHAR,SAMASTIPUR,107,115,19,0,19,29,33,61,312,39,33,17,9,29,2853
BIHAR,SARAN,137,70,20,0,20,15,69,93,309,12,14,22,0,0,3442
BIHAR,SHEIKHPURA,28,1,3,0,3,1,16,12,136,4,10,0,0,0,804
BIHAR,SHEOHAR,18,0,11,0,11,7,7,8,38,0,1,0,0,0,428
BIHAR,SITAMARHI,51,5,23,0,23,20,24,15,218,10,41,1,0,0,1797
BIHAR,SIWAN,116,150,4,0,4,26,45,100,239,13,26,6,0,0,1853
BIHAR,SUPAUL,41,61,30,0,30,2,31,40,170,9,8,8,0,0,1672
BIHAR,VAISHALI,110,148,20,0,20,28,22,43,295,83,120,52,0,0,4076
BIHAR,TOTAL,3643,3419,888,0,888,518,1291,2203,8606,946,1659,562,21,83,88432
CHHATTISGARH,BALRAMPUR,13,2,17,0,17,1,17,11,15,0,6,18,0,0,235
CHHATTISGARH,BILASPUR,99,42,69,0,69,20,4,37,166,5,23,180,10,0,4353
CHHATTISGARH,BIZAPUR,9,13,4,0,4,0,2,6,1,0,0,1,0,0,86
CHHATTISGARH,DANTEWARA,83,37,19,0,19,8,7,5,14,1,5,18,1,0,739
CHHATTISGARH,DHAMTARI,14,6,22,0,22,4,2,0,22,3,12,41,5,0,996
CHHATTISGARH,DURG,76,66,144,0,144,42,9,50,48,15,91,287,38,0,6544
CHHATTISGARH,GRP RAIPUR,2,1,0,0,0,0,2,9,4,0,2,4,0,0,315
CHHATTISGARH,JAGDALPUR,80,35,59,0,59,4,2,23,35,9,11,49,2,0,1812
CHHATTISGARH,JANJGIR,48,29,29,0,29,6,2,25,105,4,23,110,13,0,2059
CHHATTISGARH,JASHPUR,37,16,36,0,36,2,5,17,13,17,7,41,1,0,719
CHHATTISGARH,KANKER,31,17,42,0,42,4,3,5,23,2,9,36,3,0,760
CHHATTISGARH,KAWARDHA,19,12,35,0,35,0,1,2,10,2,4,45,4,0,685
CHHATTISGARH,KORBA,33,13,46,0,46,13,0,8,67,6,47,90,7,0,2112
CHHATTISGARH,KORIYA,35,25,34,0,34,7,3,6,21,3,9,102,2,0,1644
CHHATTISGARH,MAHASAMUND,18,20,43,0,43,7,2,6,30,8,27,69,6,0,1185
CHHATTISGARH,RAIGARH,50,24,53,0,53,6,2,13,34,39,17,104,5,0,1650
CHHATTISGARH,RAIPUR,92,102,104,0,104,28,10,58,110,24,64,253,42,0,6786
CHHATTISGARH,RAJNANDGAON,36,27,58,0,58,3,3,15,50,10,14,92,12,0,2650
CHHATTISGARH,SARGUJA,105,42,145,0,145,16,11,42,103,6,31,223,10,0,3130
CHHATTISGARH,TOTAL,880,529,959,0,959,171,87,338,871,154,402,1763,161,0,38460
GOA,NORTH GOA,22,16,4,0,4,1,5,10,33,25,29,12,2,0,1271
GOA,SOUTH GOA,14,14,8,0,8,5,2,15,31,14,33,5,5,0,1070
GOA,TOTAL,36,30,12,0,12,6,7,25,64,39,62,17,7,0,2341
GUJARAT,AHMEDABAD COMMR.,90,58,39,0,39,117,18,192,191,140,205,54,27,0,13496
GUJARAT,AHMEDABAD RURAL,26,17,5,0,5,27,15,25,50,20,9,26,0,0,2146
GUJARAT,AHWA-DANG,6,0,1,0,1,1,0,1,10,3,4,2,0,0,147
GUJARAT,AMRELI,41,11,2,0,2,34,4,25,52,15,21,21,0,0,2191
GUJARAT,ANAND,28,16,3,0,3,28,10,14,63,113,76,27,3,0,3879
GUJARAT,BHARUCH,37,14,4,0,4,34,13,17,44,70,71,19,0,0,3052
GUJARAT,BHAVNAGAR,64,28,9,0,9,51,5,48,113,154,103,36,7,0,5088
GUJARAT,DAHOD,36,8,5,0,5,15,22,44,49,26,0,17,0,0,1717
GUJARAT,GANDHINAGAR,25,11,4,0,4,12,14,22,64,37,38,37,7,0,3478
GUJARAT,HIMATNAGAR,55,9,17,0,17,29,23,29,65,58,52,51,0,0,4013
GUJARAT,JAMNAGAR,48,27,20,0,20,22,2,20,34,46,25,18,2,0,3857
GUJARAT,JUNAGADH,56,37,14,0,14,39,4,52,88,97,122,44,8,0,5186
GUJARAT,KHEDA NORTH,42,5,11,0,11,30,9,19,63,54,63,43,0,0,3851
GUJARAT,KUTCH,34,29,2,0,2,22,8,11,55,19,40,25,1,0,3355
GUJARAT,MEHSANA,28,17,4,0,4,49,23,45,98,47,90,47,1,0,5175
GUJARAT,NARMADA,16,3,8,0,8,8,1,0,9,3,15,7,1,0,536
GUJARAT,NAVSARI,26,6,2,0,2,5,7,13,22,43,19,6,0,0,1404
GUJARAT,PALANPUR,52,45,18,0,18,35,13,47,94,54,55,50,2,0,3887
GUJARAT,PANCHMAHAL,56,13,5,0,5,46,21,19,50,53,34,1,23,0,2535
GUJARAT,PATAN,24,18,3,0,3,21,8,19,78,52,29,23,0,0,2447
GUJARAT,PORBANDAR,15,9,6,0,6,5,0,3,8,38,15,10,0,0,1215
GUJARAT,RAJKOT COMMR.,29,33,5,0,5,38,5,31,110,56,71,19,12,0,4774
GUJARAT,RAJKOT RURAL,30,36,20,0,20,35,9,23,58,172,44,45,3,0,4402
GUJARAT,SURAT COMMR.,98,19,11,0,11,37,26,59,127,66,228,10,1,0,3995
GUJARAT,SURAT RURAL,62,8,26,0,26,16,12,28,30,36,33,11,0,0,1766
GUJARAT,SURENDRANAGAR,38,17,11,0,11,24,7,13,73,45,32,45,3,0,3113
GUJARAT,VADODARA COMMR.,34,14,3,0,3,32,4,39,151,104,182,11,10,0,5047
GUJARAT,VADODARA RURAL,71,13,18,0,18,34,15,21,34,67,56,34,0,0,3137
GUJARAT,VALSAD,44,8,9,0,9,11,22,25,40,50,37,10,0,0,3109
GUJARAT,W.RLY,15,8,1,0,1,0,7,87,7,10,10,7,0,0,1421
GUJARAT,TOTAL,1226,537,286,0,286,857,327,991,1930,1748,1779,756,111,0,103419
HARYANA,AMBALA,26,23,11,0,11,32,2,18,5,13,76,27,0,0,2346
HARYANA,BHIWANI,40,20,10,0,10,7,0,19,109,26,54,17,0,0,1855
HARYANA,FARIDABAD,68,38,37,0,37,53,7,44,133,117,61,47,242,0,5808
HARYANA,FATEHABAD,18,23,17,0,17,13,3,11,11,1,52,17,0,0,1214
HARYANA,GRP,24,3,0,0,0,2,0,5,9,1,3,1,26,0,615
HARYANA,GURGAON,69,30,32,0,32,32,4,51,78,55,29,21,21,0,3502
HARYANA,HISSAR,45,53,10,0,10,18,2,27,28,23,159,33,0,0,2830
HARYANA,JHAJJAR,48,28,21,0,21,8,2,25,68,21,50,42,13,0,1501
HARYANA,JIND,37,21,21,0,21,8,2,28,71,66,51,22,29,0,1452
HARYANA,KAITHAL,33,15,16,0,16,8,3,9,0,60,16,19,0,0,1195
HARYANA,KARNAL,42,24,44,0,44,10,8,16,47,20,59,28,2,0,2383
HARYANA,KURUKSHETRA,20,8,31,0,31,14,5,13,0,20,130,28,8,0,1753
HARYANA,MAHENDRAGARH,26,10,11,0,11,8,1,1,47,34,9,19,0,0,1169
HARYANA,PANCHKULA,12,7,6,0,6,15,1,5,1,22,19,23,10,0,1054
HARYANA,PANIPAT,43,26,38,0,38,10,20,47,35,20,53,16,11,0,1895
HARYANA,REWARI,21,13,11,0,11,11,0,7,39,10,19,17,0,0,1214
HARYANA,ROHTAK,57,29,28,0,28,6,5,29,37,18,58,26,20,0,1856
HARYANA,SIRSA,37,33,17,0,17,7,2,5,24,14,43,23,0,0,1768
HARYANA,SONIPAT,73,49,15,0,15,12,5,28,6,10,43,22,14,0,1944
HARYANA,YAMUNANAGAR,42,14,22,0,22,23,5,9,2,5,32,30,5,0,1405
HARYANA,TOTAL,781,467,398,0,398,297,77,397,750,556,1016,478,401,0,38759
HIMACHAL PRADESH,BILASPUR,8,10,5,0,5,9,2,3,76,11,12,35,1,0,1074
HIMACHAL PRADESH,CHAMBA,13,3,12,0,12,15,0,1,6,5,8,23,1,0,555
HIMACHAL PRADESH,G.R.P.,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4
HIMACHAL PRADESH,HAMIRPUR,2,5,3,0,3,3,0,1,26,5,11,17,2,0,747
HIMACHAL PRADESH,KANGRA,24,16,18,0,18,21,1,4,125,1,29,43,0,0,2035
HIMACHAL PRADESH,KINNAUR,5,0,6,0,6,3,0,0,4,2,0,4,0,0,147
HIMACHAL PRADESH,KULLU,13,1,13,0,13,6,0,1,27,3,7,12,0,0,630
HIMACHAL PRADESH,LAHAUL-SPITI,1,0,2,0,2,1,0,1,2,0,1,0,0,0,50
HIMACHAL PRADESH,MANDI,18,8,16,0,16,10,0,3,83,6,22,59,4,0,1747
HIMACHAL PRADESH,SHIMLA,14,13,18,0,18,11,0,7,122,13,31,50,1,0,1964
HIMACHAL PRADESH,SIRMAUR,3,5,10,0,10,11,0,4,56,2,12,33,4,0,703
HIMACHAL PRADESH,SOLAN,11,8,12,0,12,10,0,1,62,17,7,23,1,0,1130
HIMACHAL PRADESH,UNA,6,6,9,0,9,5,1,2,38,4,6,11,0,0,713
HIMACHAL PRADESH,TOTAL,119,75,124,0,124,105,4,28,628,69,146,310,14,0,11499
JAMMU & KASHMIR,ANANTNAG,74,41,6,0,6,36,5,16,67,5,28,53,12,0,1104
JAMMU & KASHMIR,AWANTIPORA,25,3,1,0,1,13,0,4,10,0,1,8,2,0,316
JAMMU & KASHMIR,BARAMULLA,144,155,28,0,28,59,2,16,146,3,11,93,14,0,1533
JAMMU & KASHMIR,BORDER,6,42,12,0,12,10,0,0,15,6,16,15,5,0,708
JAMMU & KASHMIR,BUDGAM,78,103,7,0,7,34,0,2,88,3,6,35,9,0,812
JAMMU & KASHMIR,CRIME JAMMU,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27
JAMMU & KASHMIR,CRIME SRINAGAR,0,0,0,0,0,0,0,0,0,8,61,0,0,0,69
JAMMU & KASHMIR,DODA,104,147,7,0,7,15,2,6,17,6,4,6,2,0,627
JAMMU & KASHMIR,GANDERBAL,24,8,5,0,5,31,1,0,50,0,3,30,4,0,395
JAMMU & KASHMIR,JAMMU,27,82,13,0,13,43,0,4,103,10,62,40,94,0,3607
JAMMU & KASHMIR,KARGIL,0,0,0,0,0,1,0,0,5,0,0,1,0,0,82
JAMMU & KASHMIR,KATHUA,16,28,13,0,13,10,1,2,43,0,8,14,4,0,817
JAMMU & KASHMIR,KULGAM,39,16,6,0,6,31,1,17,77,5,6,7,11,0,635
JAMMU & KASHMIR,KUPWARA,141,269,6,0,6,29,0,1,74,8,10,62,2,0,1027
JAMMU & KASHMIR,LEH,3,1,0,0,0,1,0,0,5,3,3,1,0,0,137
JAMMU & KASHMIR,POONCH,100,189,13,0,13,10,1,0,30,3,6,4,6,0,766
JAMMU & KASHMIR,PULWAMA,46,90,7,0,7,33,1,27,127,3,10,19,12,0,883
JAMMU & KASHMIR,RAILWAYS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17
JAMMU & KASHMIR,RAJOURI,76,97,17,0,17,20,2,4,3,4,14,7,6,0,965
JAMMU & KASHMIR,RAMBAN,51,50,3,0,3,3,1,1,2,5,3,3,2,0,537
JAMMU & KASHMIR,REASI,36,75,7,0,7,9,1,0,6,7,2,5,4,0,389
JAMMU & KASHMIR,SRINAGAR,63,49,8,0,8,102,6,59,158,7,102,207,88,0,3042
JAMMU & KASHMIR,UDHAMPUR,21,28,10,0,10,14,0,2,46,4,8,12,11,0,1010
JAMMU & KASHMIR,TOTAL,1075,1474,169,0,169,504,24,161,1072,90,391,622,288,0,19505
JHARKHAND,BOKARO,70,75,26,0,26,32,38,66,119,16,17,24,2,0,1936
JHARKHAND,CHAIBASA,109,34,32,0,32,10,7,9,22,8,22,6,0,0,669
JHARKHAND,CHATRA,40,10,6,0,6,3,23,15,90,0,13,0,0,0,748
JHARKHAND,DEOGHAR,47,82,22,0,22,0,13,15,118,8,14,13,1,0,1106
JHARKHAND,DHANBAD,97,31,32,0,32,45,56,48,205,11,77,47,0,0,2916
JHARKHAND,DHANBAD RLY.,11,0,2,0,2,0,12,13,4,0,8,0,0,0,360
JHARKHAND,DUMKA,63,32,27,0,27,0,11,8,75,14,8,20,0,0,1016
JHARKHAND,GARHWA,32,6,11,0,11,2,19,17,113,2,15,0,0,0,788
JHARKHAND,GIRIDIH,63,65,42,0,42,10,56,27,173,18,49,13,0,0,1918
JHARKHAND,GODDA,61,0,37,0,37,26,24,18,90,0,3,0,0,0,1030
JHARKHAND,GUMLA,136,18,29,0,29,11,30,44,40,4,7,2,0,1,658
JHARKHAND,HAZARIBAGH,76,35,41,0,41,31,85,68,268,9,54,15,0,0,2498
JHARKHAND,JAMSHEDPUR,81,190,50,0,50,51,10,27,131,85,115,58,0,0,2712
JHARKHAND,JAMSHEDPUR RLY.,4,0,1,0,1,0,6,4,2,0,3,1,0,0,148
JHARKHAND,JAMTARA,22,30,18,0,18,11,6,9,61,2,10,13,0,0,473
JHARKHAND,KODERMA,21,18,2,0,2,2,13,15,80,16,17,8,1,0,667
JHARKHAND,LATEHAR,54,8,12,0,12,2,44,9,27,2,0,0,0,0,380
JHARKHAND,LOHARDAGGA,33,4,12,0,12,8,8,11,29,4,5,4,0,0,311
JHARKHAND,PAKUR,31,19,23,0,23,0,11,5,39,6,19,0,0,0,483
JHARKHAND,PALAMU,73,52,15,0,15,2,43,32,160,21,5,8,0,1,1461
JHARKHAND,RANCHI,243,65,73,0,73,1,81,140,66,47,55,24,1,0,1602
JHARKHAND,SAHEBGANJ,47,34,20,0,20,5,12,8,72,5,19,23,0,0,628
JHARKHAND,SARAIKELA,44,56,17,0,17,15,15,12,29,5,17,18,0,0,692
JHARKHAND,SIMDEGA,49,2,17,0,17,12,13,27,5,0,2,0,0,0,247
JHARKHAND,TOTAL,1507,866,567,0,567,279,636,647,2018,283,554,297,5,2,25447
KARNATAKA,BAGALKOT,59,34,2,0,2,7,2,3,218,6,18,39,0,0,1710
KARNATAKA,BANGALORE COMMR.,221,327,40,0,40,56,31,284,298,258,1708,223,51,0,27254
KARNATAKA,BANGALORE RURAL,137,86,13,0,13,10,23,32,358,22,60,90,0,0,5209
KARNATAKA,BELGAUM,120,55,8,0,8,12,19,47,389,17,102,62,0,0,5053
KARNATAKA,BELLARY,58,41,16,0,16,11,5,20,260,9,19,82,0,0,3229
KARNATAKA,BIDAR,48,58,7,0,7,10,7,36,163,7,33,90,3,0,4371
KARNATAKA,BIJAPUR,51,47,6,0,6,19,5,21,396,5,19,65,0,0,2941
KARNATAKA,CHAMARAJNAGAR,19,18,4,0,4,5,1,9,107,3,10,43,0,0,1390
KARNATAKA,CHICKMAGALUR,41,24,8,0,8,7,4,10,187,7,25,57,8,0,2766
KARNATAKA,CHITRADURGA,31,22,18,0,18,0,8,20,269,7,22,48,0,0,2691
KARNATAKA,DAKSHIN KANNADA,33,36,3,0,3,6,1,8,127,15,55,24,0,0,3047
KARNATAKA,DAVANAGERE,58,39,22,0,22,13,5,26,297,12,46,84,5,0,3301
KARNATAKA,DHARWAD COMMR.,16,24,4,0,4,4,5,34,168,8,56,3,0,0,1902
KARNATAKA,DHARWAD RURAL,25,10,3,0,3,2,3,5,110,7,14,8,0,0,899
KARNATAKA,GADAG,22,17,2,0,2,2,4,13,109,4,23,10,0,0,899
KARNATAKA,GULBARGA,95,83,20,0,20,21,10,61,423,6,68,143,1,0,4169
KARNATAKA,HASSAN,64,69,20,0,20,0,5,23,210,9,17,75,1,0,4039
KARNATAKA,HAVERI,24,17,3,0,3,11,7,10,260,9,20,42,0,0,2211
KARNATAKA,K.G.F.,20,22,1,0,1,7,4,6,73,0,12,12,0,0,906
KARNATAKA,KODAGU,26,33,4,0,4,4,1,3,170,2,6,22,0,0,1301
KARNATAKA,KOLAR,69,72,17,0,17,18,3,25,373,9,48,42,0,0,3230
KARNATAKA,KOPPAL,23,33,6,0,6,12,3,8,166,2,21,40,1,0,1406
KARNATAKA,MANDYA,67,47,15,0,15,1,2,28,280,7,30,50,0,0,4807
KARNATAKA,MYSORE COMMR.,32,34,2,0,2,7,0,32,67,17,52,8,1,0,1903
KARNATAKA,MYSORE RURAL,53,58,12,0,12,4,0,0,212,5,15,79,2,0,2900
KARNATAKA,RAICHUR,33,38,12,0,12,5,4,13,261,8,94,63,4,0,2384
KARNATAKA,RAILWAYS,12,0,1,0,1,0,3,11,16,1,2,0,0,0,583
KARNATAKA,SHIMOGA,56,48,12,0,12,10,1,15,260,4,31,65,0,0,4178
KARNATAKA,TUMKUR,80,55,6,0,6,4,10,27,234,13,26,53,0,0,4141
KARNATAKA,UDUPI,16,14,2,0,2,0,1,12,107,4,15,16,2,0,1959
KARNATAKA,UTTAR KANNADA,17,14,4,0,4,3,1,5,118,11,11,27,2,0,2319
KARNATAKA,TOTAL,1626,1475,293,0,293,271,178,847,6686,494,2678,1665,81,0,109098
KERALA,ALAPUZHA,22,32,21,0,21,6,2,18,419,18,152,162,2,0,7319
KERALA,CBCID,22,7,2,0,2,0,1,1,6,18,37,0,0,0,250
KERALA,ERNAKULAM,44,67,38,0,38,7,25,80,626,22,267,162,3,0,14843
KERALA,IDUKKI,33,30,34,0,34,0,3,16,301,55,78,145,16,0,5421
